Frame: 	Blockiness: 	SA: 	Letterbox: 	Pillarbox: 	Blockloss: 	Blur: 	TA: 	Blackout: 	Freezing: 	Exposure(bri): 	Contrast: 	Interlace: 	Noise: 	Slice: 	Flickering:
00093 	0.90855 	85.69510 	0.00000 	0.00000 	6.10000 	3.636 	7.44562 	0 	0 	125    	65.05292 	0.00257 	0.3004   	20.436  	-1.00000
00094 	0.88596 	87.27680 	0.00000 	0.00000 	5.70000 	3.565 	7.63529 	0 	0 	125    	65.15209 	0.00285 	0.3030   	26.778  	-1.00000
00095 	0.92284 	87.57191 	0.00000 	0.00000 	4.40000 	3.551 	7.71963 	0 	0 	125    	65.23657 	0.00257 	0.3035   	27.255  	-1.00000
00096 	0.93270 	88.84642 	0.00000 	0.00000 	4.30000 	3.563 	7.22184 	0 	0 	125    	65.37769 	0.00111 	0.3037   	39.630  	0.68895
00097 	0.89819 	89.21082 	0.00000 	0.00000 	3.80000 	3.547 	5.30844 	0 	0 	125    	65.40685 	0.00111 	0.3024   	39.569  	-1.00000
00098 	0.93163 	88.99449 	0.00000 	0.00000 	4.60000 	3.563 	4.19294 	0 	0 	125    	65.37325 	0.00069 	0.3033   	39.689  	-1.00000
00099 	0.95270 	89.26695 	0.00000 	0.00000 	4.00000 	3.543 	4.15891 	0 	0 	125    	65.35284 	0.00069 	0.3013   	35.350  	-1.00000
00100 	0.93509 	89.78460 	0.00000 	0.00000 	3.10000 	3.503 	3.89031 	0 	0 	125    	65.36482 	0.00056 	0.3044   	34.528  	-1.00000
00101 	0.94921 	89.63780 	0.00000 	0.00000 	4.50000 	3.551 	3.80115 	0 	0 	125    	65.37393 	0.00097 	0.3038   	36.552  	-1.00000
00102 	0.96102 	89.59060 	0.00000 	0.00000 	3.20000 	3.580 	3.92160 	0 	0 	125    	65.41377 	0.00042 	0.3053   	32.491  	-1.00000
00103 	0.93234 	89.88675 	0.00000 	0.00000 	2.90000 	3.502 	4.03963 	0 	0 	125    	65.46032 	0.00049 	0.3096   	32.238  	-1.00000
00104 	0.95357 	89.83574 	0.00000 	0.00000 	2.40000 	3.511 	4.05665 	0 	0 	125    	65.46920 	0.00035 	0.3107   	24.758  	0.77894
00105 	0.96245 	89.65287 	0.00000 	0.00000 	2.60000 	3.531 	4.06076 	0 	0 	125    	65.45019 	0.00049 	0.3085   	23.942  	-1.00000
00106 	0.94262 	89.88970 	0.00000 	0.00000 	2.70000 	3.517 	3.77907 	0 	0 	125    	65.44903 	0.00056 	0.3149   	23.802  	-1.00000
00107 	0.95090 	89.75152 	0.00000 	0.00000 	3.90000 	3.520 	3.84679 	0 	0 	125    	65.42280 	0.00063 	0.3114   	24.106  	-1.00000
